"","scale","PVEself","PVEnei","p_val","total"
"1",0,0.365739650898331,0,0.0251655079632102,0.365739650898331
"2",1,0.186585920098992,0.324180808705787,0.0171247680669432,0.510766728804779
"3",1.4242135623731,0.175187958489083,0.333557113229165,0.0447275764278722,0.508745071718248
"4",2,0.0909256495426358,0.462464550082814,0.0531003766873868,0.553390199625449
"5",2.24606797749979,0.0611521013420378,0.485973053941807,0.0711262517038619,0.547125155283845
"6",2.83842712474619,0.0440874323973716,0.509901494692978,0.0800404673383284,0.55398892709035
"7",3,2.27697667630487e-07,0.557308993108081,0.102845874681633,0.557309220805748
"8",3.17227766016838,2.3148190410015e-07,0.544888123939525,0.101322928705884,0.544888355421429
"9",3.61555127546399,2.30337080465688e-07,0.546182508847197,0.117252673054314,0.546182739184277
"10",4,2.24943856124238e-07,0.558896158692375,0.0843536917606974,0.558896383636231
"11",4.13310562561766,0.0487000847877269,0.46569682116699,0.255097501751876,0.514396905954717
"12",4.25264068711928,0.146690805262554,0.322023789348926,0.457433162334438,0.46871459461148
