"","scale","PVEself","PVEnei","p_val","total"
"1",0,0.227895195476096,0,0.0878872041571717,0.227895195476096
"2",1,0.131826917071468,0.241807274649917,0.0982155140605097,0.373634191721385
"3",1.4242135623731,0.0805305454936695,0.346604523471151,0.0366614686733627,0.427135068964821
"4",2,5.18853598774411e-07,0.53124510498241,0.0084404515677187,0.531245623836008
"5",2.24606797749979,0.032588736710417,0.415434069649134,0.0985654464544327,0.448022806359551
"6",2.83842712474619,0.00630059847763573,0.419200996319181,0.12899905590374,0.425501594796817
"7",3,5.70020445776347e-07,0.449963139648791,0.153909032774142,0.449963709669236
"8",3.17227766016838,6.16222640060864e-07,0.390234640537527,0.285962348854396,0.390235256760167
"9",3.61555127546399,6.29533461739471e-07,0.372774296908121,0.305358382114844,0.372774926441583
"10",4,0.00681699997859015,0.361818130001253,0.429323123152421,0.368635129979843
"11",4.13310562561766,0.0159308304006733,0.347591303446779,0.475123433688338,0.363522133847453
"12",4.25264068711928,0.0146785388482227,0.340156627241314,0.521742787124719,0.354835166089537
