"","scale","PVEself","PVEnei","p_val","total"
"1",0,0.303897357844365,0,0.0170807759606612,0.303897357844365
"2",1,0.168366862791743,0.269700102606855,0.0298891204835094,0.438066965398598
"3",1.4242135623731,0.142199577377296,0.305668548560432,0.0587695696958162,0.447868125937728
"4",2,0.0634695561749032,0.447361458739427,0.0477105052883718,0.51083101491433
"5",2.24606797749979,0.0365967268462391,0.470958943228263,0.0657171102465161,0.507555670074502
"6",2.83842712474619,0.0235127732656293,0.493011278071817,0.0635832886884141,0.516524051337446
"7",3,2.49537106844867e-07,0.514350092115484,0.09231248657091,0.514350341652591
"8",3.17227766016838,2.53284379608194e-07,0.500816272575938,0.0944885755680262,0.500816525860317
"9",3.61555127546399,2.49837923075065e-07,0.50798510343583,0.0947815318709083,0.507985353273753
"10",4,2.44460020374072e-07,0.52036522598414,0.0773411534752457,0.520365470444161
"11",4.13310562561766,0.0328710313088977,0.440727124260915,0.259035472933139,0.473598155569813
"12",4.25264068711928,0.125968612251937,0.291385750529051,0.464113645180299,0.417354362780988
