"","scale","PVEself","PVEnei","p_val","total"
"1",0,0.521214680559912,0,9.89921083939855e-05,0.521214680559912
"2",1,0.0756408511184135,0.646517380969785,6.56896233082067e-07,0.722158232088198
"3",1.4242135623731,0.130115577378463,0.490123948295285,0.000529147125323133,0.620239525673747
"4",2,0.03354954993248,0.656245894942466,0.000210419387106641,0.689795444874945
"5",2.24606797749979,0.147133074643316,0.482462705545586,0.0126269191027744,0.629595780188902
"6",2.83842712474619,0.103222493828532,0.530487281670378,0.0150367826486555,0.633709775498911
"7",3,1.29645645654276e-07,0.665257615998261,0.00419030782345223,0.665257745643906
"8",3.17227766016838,1.27334909232626e-07,0.669039375867795,0.00913128372211688,0.669039503202704
"9",3.61555127546399,1.22588687143997e-07,0.685451283988434,0.00508976113701588,0.685451406577121
"10",4,1.17605861514282e-07,0.703141612701131,0.00260429484110284,0.703141730306992
"11",4.13310562561766,1.15503222158509e-07,0.709314194746685,0.00283817065885903,0.709314310249908
"12",4.25264068711928,1.16925917246582e-07,0.702312010926068,0.00683713403487556,0.702312127851985
