"","scale","PVEself","PVEnei","p_val","total"
"1",0,0.166288064276108,0,0.107002301014431,0.166288064276108
"2",1,0.106816476577079,0.204808176894276,0.117632681407358,0.311624653471355
"3",1.4242135623731,0.067790280019632,0.305973760941207,0.0424545792589086,0.373764040960839
"4",2,5.73433457072775e-07,0.479119811270961,0.016248498118807,0.479120384704418
"5",2.24606797749979,0.030410660786247,0.367225671275341,0.135773431079224,0.397636332061588
"6",2.83842712474619,0.00656473638405725,0.37210234219842,0.170268622652107,0.378667078582477
"7",3,6.23692125248477e-07,0.393737739753414,0.228848349251013,0.39373836344554
"8",3.17227766016838,0.0193825887935769,0.290472709731957,0.45775550289374,0.309855298525534
"9",3.61555127546399,6.9130038165612e-07,0.303366933603177,0.469188997227058,0.303367624903559
"10",4,0.0596141326587117,0.200045436280496,0.698532251169663,0.259659568939208
"11",4.13310562561766,0.075553996801077,0.170225763218454,0.76249588639621,0.245779760019531
"12",4.25264068711928,0.0927057359397563,0.133187596141664,0.832976276799781,0.22589333208142
