"","scale","PVEself","PVEnei","p_val","total"
"1",0,0.590826558227074,0,0.000128803257642204,0.590826558227074
"2",1,0.0812376071324884,0.701001197680145,9.75193084274956e-08,0.782238804812633
"3",1.4242135623731,0.119686898733979,0.568787866541893,0.000178993460898508,0.688474765275872
"4",2,0.040242955146694,0.725813171071997,3.4699060580348e-05,0.766056126218691
"5",2.24606797749979,0.169485463189676,0.528353661887676,0.00656008593646612,0.697839125077351
"6",2.83842712474619,0.141862916844063,0.549774425714043,0.0132977204076548,0.691637342558105
"7",3,0.0305166935988426,0.690076996952554,0.00351940312570019,0.720593690551397
"8",3.17227766016838,1.06505218435328e-07,0.722952012184788,0.00699202233273255,0.722952118690006
"9",3.61555127546399,1.03606494365364e-07,0.732546589769887,0.00475262935295708,0.732546693376381
"10",4,9.82917705842649e-08,0.752116219950819,0.00161348454643505,0.75211631824259
"11",4.13310562561766,9.58193719679422e-08,0.760216118386767,0.00137068741403306,0.760216214206139
"12",4.25264068711928,9.76724511366223e-08,0.751899860136583,0.00360989780845138,0.751899957809034
