Trial,Bay,Block,Row,Range,Expt_15,Name,Powdery Mildew 27/10/15
BLr '15,D,1,88,18,Control,Navigator,1
BLr '15,D,1,89,18,CAIGE,134:ZID14,1
BLr '15,D,1,90,18,CAIGE,135:ZID14,1
BLr '15,D,1,91,18,Control,Navigator,1
BLr '15,D,1,92,18,CAIGE,136:ZID14,1
BLr '15,D,1,93,18,CAIGE,137:ZID14,1
BLr '15,D,1,94,18,Control,Baudin,7
BLr '15,D,1,95,18,CAIGE,138:ZID14,1
BLr '15,D,1,96,18,Control,Navigator,1
BLr '15,D,1,73,19,Control,Navigator,1
BLr '15,D,1,74,19,CAIGE,139:ZID14,1
BLr '15,D,1,75,19,CAIGE,141:ZID14,2
BLr '15,D,1,76,19,Control,Baudin,8
BLr '15,D,1,77,19,CAIGE,142:ZID14,6
BLr '15,D,1,78,19,CAIGE,143:ZID14,1
BLr '15,D,1,79,19,Control,Navigator,1
BLr '15,D,1,80,19,CAIGE,144:ZID14,2
BLr '15,D,1,81,19,CAIGE,145:ZID14,1
BLr '15,D,1,82,19,Control,Navigator,1
BLr '15,D,1,83,19,CAIGE,147:ZID14,3
BLr '15,D,1,84,19,CAIGE,148:ZID14,1
BLr '15,D,1,85,19,Control,Baudin,8
BLr '15,D,1,86,19,CAIGE,149:ZID14,2
BLr '15,D,1,87,19,CAIGE,Rihane-03,5
BLr '15,D,1,88,19,Control,Navigator,1
BLr '15,D,1,89,19,CAIGE,Parent19,1
