Trial,Bay,Block,Row,Range,Expt_15,Name,Scald 25/08/2015
Scald,D,1,73,7,Control,Commander,7
Scald,D,1,74,7,CAIGE,5:ZIE14,7
Scald,D,1,75,7,CAIGE,6:ZIE14,1
Scald,D,1,76,7,CAIGE,12:ZIE14,1
Scald,D,1,77,7,CAIGE,14:ZIE14,4
Scald,D,1,78,7,CAIGE,15:ZIE14,8
Scald,D,1,79,7,CAIGE,1:ZIC14,5
Scald,D,1,80,7,CAIGE,2:ZIC14,1
Scald,D,1,81,7,Control,Keel,7
Scald,D,1,82,7,CAIGE,3:ZIC14,3
Scald,D,1,83,7,CAIGE,4:ZIC14,8
Scald,D,1,84,7,CAIGE,5:ZIC14,7
Scald,D,1,85,7,CAIGE,6:ZIC14,4
Scald,D,1,86,7,CAIGE,7:ZIC14,7
Scald,D,1,87,7,CAIGE,8:ZIC14,4
Scald,D,1,88,7,CAIGE,9:ZIC14,4
Scald,D,1,89,7,Control,Schooner,7
Scald,D,1,90,7,CAIGE,10:ZIC14,4
Scald,D,1,91,7,CAIGE,11:ZIC14,3
Scald,D,1,92,7,CAIGE,12:ZIC14,3
Scald,D,1,93,7,CAIGE,13:ZIC14,1
Scald,D,1,94,7,CAIGE,14:ZIC14,5
Scald,D,1,95,7,CAIGE,15:ZIC14,3
Scald,D,1,96,7,Control,Scope,7
Scald,D,1,73,8,Control,Hindmarsh,2
Scald,D,1,74,8,CAIGE,16:ZIC14,8
Scald,D,1,75,8,CAIGE,17:ZIC14,6
Scald,D,1,76,8,CAIGE,18:ZIC14,3
Scald,D,1,77,8,CAIGE,19:ZIC14,1
Scald,D,1,78,8,CAIGE,20:ZIC14,9
Scald,D,1,79,8,CAIGE,21:ZIC14,8
Scald,D,1,80,8,CAIGE,22:ZIC14,7
Scald,D,1,81,8,Control,Skipper,8
Scald,D,1,82,8,CAIGE,24:ZIC14,2
Scald,D,1,83,8,CAIGE,2:ZIB14,8
Scald,D,1,84,8,CAIGE,3:ZIB14,8
Scald,D,1,85,8,CAIGE,4:ZIB14,7
Scald,D,1,86,8,CAIGE,5:ZIB14,8
Scald,D,1,87,8,CAIGE,6:ZIB14,8
Scald,D,1,88,8,CAIGE,7:ZIB14,8
Scald,D,1,89,8,Control,buloke,8
Scald,D,1,90,8,CAIGE,8:ZIB14,7
Scald,D,1,91,8,CAIGE,9:ZIB14,8
Scald,D,1,92,8,CAIGE,10:ZIB14,7
Scald,D,1,93,8,CAIGE,11:ZIB14,7
Scald,D,1,94,8,CAIGE,12:ZIB14,8
Scald,D,1,95,8,CAIGE,13:ZIB14,8
Scald,D,1,96,8,Control,Yagan,8
Scald,D,1,73,9,Control,Yagan,8
Scald,D,1,74,9,CAIGE,14:ZIB14,8
Scald,D,1,75,9,CAIGE,16:ZIB14,7
Scald,D,1,76,9,CAIGE,17:ZIB14,7
Scald,D,1,77,9,CAIGE,18:ZIB14,6
Scald,D,1,78,9,CAIGE,19:ZIB14,8
Scald,D,1,79,9,CAIGE,20:ZIB14,8
Scald,D,1,80,9,CAIGE,21:ZIB14,7
Scald,D,1,81,9,Control,Hindmarsh,1
Scald,D,1,82,9,CAIGE,22:ZIB14,6
Scald,D,1,83,9,CAIGE,23:ZIB14,7
Scald,D,1,84,9,CAIGE,24:ZIB14,6
Scald,D,1,85,9,CAIGE,2:ZID14,8
Scald,D,1,86,9,CAIGE,3:ZID14,8
Scald,D,1,87,9,CAIGE,4:ZID14,8
Scald,D,1,88,9,CAIGE,5:ZID14,8
Scald,D,1,89,9,Control,Navigator,7
Scald,D,1,90,9,CAIGE,6:ZID14,6
Scald,D,1,91,9,CAIGE,7:ZID14,8
Scald,D,1,92,9,CAIGE,8:ZID14,8
Scald,D,1,93,9,CAIGE,9:ZID14,5
Scald,D,1,94,9,CAIGE,10:ZID14,8
Scald,D,1,95,9,CAIGE,11:ZID14,6
Scald,D,1,96,9,Control,Gairdner,8
Scald,D,1,73,10,Control,Hindmarsh,1
Scald,D,1,74,10,CAIGE,12:ZID14,1
Scald,D,1,75,10,CAIGE,13:ZID14,7
Scald,D,1,76,10,CAIGE,14:ZID14,7
Scald,D,1,77,10,CAIGE,15:ZID14,7
Scald,D,1,78,10,CAIGE,16:ZID14,5
Scald,D,1,79,10,CAIGE,17:ZID14,7
Scald,D,1,80,10,CAIGE,18:ZID14,8
Scald,D,1,81,10,Control,Gairdner,8
Scald,D,1,82,10,CAIGE,19:ZID14,8
Scald,D,1,83,10,CAIGE,22:ZID14,8
Scald,D,1,84,10,CAIGE,23:ZID14,4
Scald,D,1,85,10,CAIGE,24:ZID14,7
Scald,D,1,86,10,CAIGE,25:ZID14,8
Scald,D,1,87,10,CAIGE,26:ZID14,7
