Trial,Bay,Block,Row,Range,Expt_15,Name,NFNB Z55-61 MM
15NFNB,D,1,89,13,Control,VB9613,8
15NFNB,D,1,90,13,CAIGE,24:ZID14,2
15NFNB,D,1,91,13,CAIGE,25:ZID14,2
15NFNB,D,1,92,13,CAIGE,26:ZID14,2
15NFNB,D,1,93,13,Control,VB9613,8
15NFNB,D,1,94,13,CAIGE,27:ZID14,2
15NFNB,D,1,95,13,CAIGE,28:ZID14,3
15NFNB,D,1,96,13,Control,VB9613,8
15NFNB,D,1,73,14,Control,VB9613,8
15NFNB,D,1,74,14,CAIGE,29:ZID14,2
15NFNB,D,1,75,14,CAIGE,31:ZID14,3
15NFNB,D,1,76,14,CAIGE,32:ZID14,2
15NFNB,D,1,77,14,Control,VB9613,8
15NFNB,D,1,78,14,CAIGE,33:ZID14,2
15NFNB,D,1,79,14,CAIGE,34:ZID14,2
15NFNB,D,1,80,14,CAIGE,35:ZID14,2
15NFNB,D,1,81,14,Control,Compass,5
15NFNB,D,1,82,14,CAIGE,36:ZID14,3
15NFNB,D,1,83,14,CAIGE,37:ZID14,2
15NFNB,D,1,84,14,CAIGE,38:ZID14,1
15NFNB,D,1,85,14,Control,VB9613,8
15NFNB,D,1,86,14,CAIGE,39:ZID14,3
15NFNB,D,1,87,14,CAIGE,41:ZID14,2
15NFNB,D,1,88,14,CAIGE,42:ZID14,2
15NFNB,D,1,89,14,Control,VB9613,8
15NFNB,D,1,90,14,CAIGE,43:ZID14,2
15NFNB,D,1,91,14,CAIGE,44:ZID14,2
15NFNB,D,1,92,14,CAIGE,45:ZID14,3
15NFNB,D,1,93,14,Control,VB9613,7
15NFNB,D,1,94,14,CAIGE,46:ZID14,3
15NFNB,D,1,95,14,CAIGE,47:ZID14,2
15NFNB,D,1,96,14,Control,VB9613,8
15NFNB,D,1,73,15,Control,VB9613,8
15NFNB,D,1,74,15,CAIGE,48:ZID14,5
15NFNB,D,1,75,15,CAIGE,49:ZID14,3
15NFNB,D,1,76,15,CAIGE,51:ZID14,2
15NFNB,D,1,77,15,Control,VB9613,8
15NFNB,D,1,78,15,CAIGE,52:ZID14,3
15NFNB,D,1,79,15,CAIGE,53:ZID14,6
15NFNB,D,1,80,15,CAIGE,54:ZID14,4
15NFNB,D,1,81,15,Control,VB9613,8
15NFNB,D,1,82,15,CAIGE,55:ZID14,2
15NFNB,D,1,83,15,CAIGE,57:ZID14,4
15NFNB,D,1,84,15,CAIGE,58:ZID14,2
15NFNB,D,1,85,15,Control,VB9613,8
15NFNB,D,1,86,15,CAIGE,59:ZID14,2
15NFNB,D,1,87,15,CAIGE,61:ZID14,2
15NFNB,D,1,88,15,CAIGE,62:ZID14,2
15NFNB,D,1,89,15,Control,La Trobe,2
15NFNB,D,1,90,15,CAIGE,63:ZID14,1
15NFNB,D,1,91,15,CAIGE,64:ZID14,1
15NFNB,D,1,92,15,CAIGE,65:ZID14,1
15NFNB,D,1,93,15,Control,VB9613,8
15NFNB,D,1,94,15,CAIGE,66:ZID14,2
15NFNB,D,1,95,15,CAIGE,67:ZID14,2
15NFNB,D,1,96,15,Control,Flinders,3
15NFNB,D,1,73,16,Control,VB9613,8
15NFNB,D,1,74,16,CAIGE,68:ZID14,2
